what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299783838118
error,log,,,"No command output when running: 'am start -n edu.washington.ling/edu.washington.ling.TPG -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1299783942663
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784075889
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1299784078751
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784083206
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784084784
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784085707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784100947
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299784102615
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784125808
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784126939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784127137
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784129162
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1299784129967
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1299784132213
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1299784132232
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784133548
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784134441
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784137064
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784138577
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1299784142087
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1299784144156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1299784147886
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1299784149988
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784150024
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784153884
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784157486
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784245427
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299784247213
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784255694
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784257105
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1299784258492
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784262052
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784329689
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784334617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784341638
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299784341667
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784346681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784349674
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784350069
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784365080
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784366420
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299784397377
