what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052128359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052290788
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052292468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052363842
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052368243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052368886
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052369163
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052406516
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052408481
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052422236
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1298052427243
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1298052428175
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052428754
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052469213
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052470247
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052480599
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052481515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052494767
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052501911
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052520422
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1298052522153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052524004
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052525812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052528316
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052528986
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052535509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052536338
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1298052537345
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298052541091
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052544097
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052546732
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052549618
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052550719
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052551583
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052555621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052557314
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052557907
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052559778
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052560536
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298052562955
