what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050401484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050404129
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298050404733
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298050405000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1298050406079
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1298050406976
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1298050407264
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1298050407911
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298050408651
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1298050410820
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298050412276
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298050414157
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298050414170
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.close",1298050414189
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298050415046
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1298050425678
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1298050438236
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298050440486
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1298050442149
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050452264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050454683
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050455051
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050455799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050456229
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050457029
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050457603
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050459302
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050459518
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050493364
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050495411
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050497808
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050498032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050512759
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1298050515323
opened,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1298050516851
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1298050517180
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1298050518096
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1298050518496
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298050519266
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298050520219
closed,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1298050520236
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.close",1298050520273
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050521436
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050522668
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050527580
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050535291
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050539027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050542066
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1298050567347
opened,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1298050567652
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1298050567973
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1298050568950
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1298050569380
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1298050572734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050573072
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050578080
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050579936
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050583101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050584012
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050585215
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1298050586106
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298050587301
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050588478
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050589173
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1298050592086
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1298050594543
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050600711
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050616961
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050618016
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050620073
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1298050625836
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298050629100
closed,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1298050629115
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1298050630724
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050639198
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050656031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050656773
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050671449
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1298050681679
opened,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1298050682015
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1298050682383
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1298050687630
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1298050688850
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1298050689077
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1298050690005
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1298050690738
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298050691777
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1298050694486
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1298050696400
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1298050696949
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050705509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050706445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050706569
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050707492
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050707622
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050712134
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050712462
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050721171
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1298050726799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050728526
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298050731813
error,log,,,"Internal Error",1298050731992
error,log,,,"Problems encountered while deleting resources.",1298050731995
closed,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1298050732083
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1298050732243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298050746710
