what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1299951340307
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1299951340482
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1299951340636
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299951344672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299951346433
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299951351502
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1299951354049
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1299951354608
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299951413296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299951429969
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299951432008
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299951452442
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299951452476
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299951484292
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299951484910
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299951488749
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299951493139
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299951652999
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299951653042
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299952935866
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1299952991265
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1299952991622
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299953012406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299953104070
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1299953138401
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1299953139986
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1299953140250
